AdventureWorks Budget Data,,,,,,,,,,,,,,,,
Prepared By: Johnny Bunko,,,,,,,,,,,,,,,,
AdventureWorks Confidential,,,,,,,,,,,,,,,,
Category,Subcategory,ProductName,ProductKey,"Jan, 2016","Feb, 2016","Mar, 2016","Apr, 2016","May, 2016","Jun, 2016","Jul, 2016","Aug, 2016","Sep, 2016","Oct, 2016","Nov, 2016","Dec, 2016",Grand Total
Accessories,Bike Racks,Hitch Rack - 4-Bike,483,"$1,131","$2,635","$4,134","$2,179","$2,637","$3,279","$2,218","$3,287","$3,885","$2,484","$5,441","$3,551","$36,861"
Accessories,Bike Stands,All-Purpose Bike Stand,486,$666,"$3,695","$2,868","$4,862","$3,439","$4,612","$2,774","$3,003","$2,401","$4,413","$3,881","$2,143","$38,757"
Accessories,Bottles and Cages,Water Bottle - 30 oz.,477,"$1,892","$4,727","$3,656","$4,449","$4,051","$6,257","$4,871","$5,231","$5,461","$5,529","$5,220","$6,025","$57,369"
Accessories,Cleaners,Bike Wash - Dissolver,484,$160,$713,$555,$656,$369,$582,$777,$777,$239,$496,$686,$455,"$6,465"
Accessories,Fenders,Fender Set - Mountain,485,$970,"$3,014","$2,809","$4,259","$3,638","$3,721","$4,190","$3,618","$3,975","$3,892","$4,740","$4,844","$43,670"
Accessories,Helmets,"Sport-100 Helmet, Red",212,"$5,317","$16,221","$16,752","$16,552","$17,204","$25,354","$17,584","$20,409","$18,268","$20,567","$25,571","$22,106","$2,21,905"
Accessories,Hydration Packs,Hydration Pack - 70 oz.,487,$809,"$2,684","$2,917","$3,425","$2,716","$3,260","$3,773","$3,523","$4,252","$3,111","$4,985","$4,348","$39,803"
Accessories,Tires and Tubes,Patch Kit/8 Patches,480,"$3,554","$18,758","$20,905","$18,046","$21,680","$22,456","$23,995","$22,922","$20,950","$21,905","$24,019","$23,587","$2,42,777"
SubTotal Accessories,,,,"$14,499","$52,447","$54,596","$54,428","$55,734","$69,521","$60,182","$62,770","$59,431","$62,397","$74,543","$67,059","$6,87,607"
Bikes,Mountain Bikes,"Mountain-100 Silver, 38",344,"$3,70,105","$3,26,786","$3,84,811","$4,39,822","$4,58,523","$6,19,456","$5,24,348","$6,47,048","$5,57,368","$6,15,032","$8,02,831","$7,88,234","$65,34,364"
Bikes,Road Bikes,"Road-150 Red, 62",310,"$3,46,295","$2,89,524","$3,55,097","$3,46,783","$3,99,691","$5,46,092","$4,41,037","$4,32,400","$4,68,572","$4,83,913","$5,58,232","$5,90,261","$52,57,897"
Bikes,Touring Bikes,"Touring-2000 Blue, 60",560,"$1,33,631","$1,65,941","$1,78,287","$2,65,901","$2,86,630","$4,45,270","$2,99,106","$4,07,069","$3,91,580","$4,81,316","$5,06,411","$4,94,823","$40,55,965"
SubTotal Bikes,,,,"$8,50,031","$7,82,251","$9,18,195","$10,52,506","$11,44,844","$16,10,818","$12,64,491","$14,86,517","$14,17,520","$15,80,261","$18,67,474","$18,73,318","$1,58,48,226"
Clothing,Caps,AWC Logo Cap,223,$479,"$1,695","$1,462","$1,079","$1,729","$2,180","$1,588","$2,065","$2,013","$2,138","$1,830","$2,113","$20,371"
Clothing,Gloves,"Half-Finger Gloves, S",462,$598,"$2,474","$2,957","$2,705","$2,819","$2,966","$2,975","$3,264","$2,424","$3,181","$3,518","$4,084","$33,965"
Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",226,"$4,087","$11,508","$12,872","$11,809","$12,789","$18,153","$16,846","$13,497","$15,988","$15,920","$17,426","$20,043","$1,70,938"
Clothing,Shorts,"Men's Sports Shorts, S",445,$421,"$5,723","$7,301","$6,335","$5,288","$6,829","$4,617","$5,384","$6,277","$6,337","$6,300","$7,641","$68,453"
Clothing,Socks,"Mountain Bike Socks, M",218,$24,$244,$432,$547,$385,$372,$839,$487,$425,$335,$660,$699,"$5,449"
Clothing,Vests,"Classic Vest, S",471,$980,"$2,008","$1,980","$2,312","$2,763","$2,591","$3,379","$3,580","$3,600","$4,248","$3,685","$3,439","$34,565"
SubTotal Clothing,,,,"$6,589","$23,652","$27,004","$24,787","$25,773","$33,091","$30,244","$28,277","$30,727","$32,159","$33,419","$38,019","$3,33,741"
Grand Total,,,,"$8,71,119","$8,58,350","$9,99,795","$11,31,721","$12,26,351","$17,13,430","$13,54,917","$15,77,564","$15,07,678","$16,74,817","$19,75,436","$19,78,396","$1,68,69,574"
